Name,Developer,Rating,Rating_Number,short_description,key_benefits,Price
Google Reviews by Omega,Omega,5,2,GG Reviews is an easy and fast way to integrate Google busines,"Show Google page Reviews 
       Show Google page Reviews on the store 
    
     
       Allows you to choose the view 
       Allows you to choose the view mode: Grid, List and Slide view 
    
     
       Trim long reviews 
       Trim long reviews with ""read more"" link",$4.99/month
Signifyd,Signifyd,4.3,128,Guaranteed fraud and chargeback protection,"Automate your back office 
       Skip the research and the wait for a customer call-back. We'll also automate your back office so that orders are fulfilled automatically. 
    
     
       Ship more 
       With Signifyd's industry leading approval rates, accept more domestic and international orders that you would normally decline. 
    
     
       Zero fraud liability 
       If you get a fraudulent chargeback on an order we approved, we pay you back within 48 hours including chargeback fees & shipping.","Small Business
       

     
      Free to install
 

       
        All approved orders charged at 1% of the total order amount
       
   

     
             Complete Fraud Protection 
             Access to Signifyd Console 
             Auto Fulfillment 
             Expert Re-review 
             Online Knowledge Base 
             48hr Reimbursement 
 
   
       
        Mid-Market
       

     
      $1,000/month
 

       
        Includes $125,000 of approved orders, 0.8% per additional
       
   

     
             Complete Fraud Protection 
             Access to Signifyd Console 
             Auto Fulfillment 
             Expert Re-review 
             Customer Success Team 
             48hr Reimbursement"
WAShare Product,ocean info,5,2,Customer share products with their contacts in WhatsApp easy,"Cheapest Marketing 
       A store owner can be done cheap marketing. Totally Free apps so share via WhatsApp to get hug order. 
    
     
       Increased Traffic 
       Visitors will share products with their WhatsApp contacts and you will have extra free traffic. 
    
     
       Easy To Use 
       The normal user can use easy to handle apps. need only put a simple code in the file.",Free
TurboSEO,Eastside Co,4,12,One-click JSON-LD,"Improve search engine listing 
       Markup makes it easier for search engines to display better, more relevant information about your store. 
    
     
       Increase click-through 
       Better presentation helps with prominence on the listings page making users more likely to visit. 
    
     
       Simple install 
       Totally code-free - simply click ‘go’ to install, saving you time and hassle.",$30 one time charge
TagRobot,Accentuate,0,0,Order and customer tagging made easy,,Free
Discount Pop,Strive Apps,0,0,URL-based discounts applied & displayed in a beautiful Pop Up,"Customers love discounts 
       Let customers know they're getting a discount with a popup notification 
    
     
       Automatic discount on URL 
       Provide customers discounts through URLs and automatically apply it at checkout 
    
     
       Marketing and retargeting 
       Perfect solution for giving discounts through email marketing and retargeting",$9.99/month
MailMunch ‑ Email Popup,MailMunch,4.7,310,Grow your email list with exit intent popups and coupon offers,"Popups, Bars and Banners 
       Grow your email list with high converting popups, bars or banners. Trigger popups with exit intent, time on site, or cart abandonment 
    
     
         
           
         
       Coupons and Offers 
       Timely popups let you present your customers with tempting offers and coupons just at the right time. You can use these for abandoning users 
    
     
         
           
         
       Personalized Emails 
       Send manual or automated emails, create personalized product recommendations, deliver post-purchase engagement campaigns and grow sales","Free
       

     
      Free
 

   

     
             Unlimited Subscribers 
             Forms & Popups 
             Landing Pages 
 
   
       
        Lead Capture
       

     
      $9.99/month
 

   

     
             Unlimited Subscribers 
             Forms & Popups 
             Landing Pages 
             Cart Abandonment 
             Coupon Codes 
             Analytics / Reports 
             Premium Templates 
             A/B Testing 
 
   
       
        Email Marketing
       

     
      $4.99/month
 

       
         $3 per 1000 subscribers
       
   

     
             Autoresponders 
             Broadcasts 
             Campaign Reports 
             High Deliverability 
             Custom Domains 
             Premium Templates 
             Drip Campaigns 
             Drag-n-Drop Builder"
Bold Upsell ‑ Upsell Smarter,BOLD,4.7,1228,"Product Upsell, Cross-sell & Smart Upsells to make more money","Upsell & Cross-Sell Anywhere 
       Make more on every sale by offering upsell  & cross-sell products. Upsell on the product page, the cart page, even AFTER CHECKOUT! 
    
     
       SMART Upsells 
       Use the free Bold Brain app to make smart recommendations about which products will work best together in cross-sell and upsell offers 
    
     
       Make More Money 
       The app's powerful upsell offers allow you to recommend bigger, better versions of your products. Ideal for Black Friday & Cyber Monday!","Starter
       

     
      $9.99/month
 

   

     
             200 upsell views per month 
             Unlimited offers 
             Pre & post-purchase 
             Upsell & cross-sell 
             Detailed reports 
             Design & language customization 
 
   
       
        Plus
       

     
      $19.99/month
 

   

     
             1000 upsell views per month 
             Unlimited offers 
             Pre & post-purchase 
             Upsell & cross-sell 
             Detailed reports 
             Design & language customization 
 
   
       
        Premium
       

     
      $39.99/month
 

   

     
             2000 upsell views per month 
             Unlimited offers 
             Pre & post-purchase 
             Upsell & cross-sell 
             Detailed reports 
             Design & language customization 
 
   
       
        Pro
       

     
      $59.99/month
 

   

     
             5000 views per month. More available on request. 
             Unlimited offers 
             Pre & post-purchase 
             Upsell & cross-sell 
             Reports 
             Design & lang customization"
"GDPR Banner: Block Cookies, JS",⇪ Upsell,4.7,32,Most-trusted cookie banner. 3 million page views per day.,"Block JavaScript and cookies 
       Block 3rd-party JavaScript until a user gives their consent. Allow users to revoke their GDPR consent any time. 
    
     
         
           
         
       Export consent to CSV 
       Protect against GDPR audits - cookie bar securely logs consent to prove your compliance. 
    
     
         
           
         
       Show in EU only, 23 languages 
       Display GDPR cookie banner inside the EU only. Supports 23 languages automatically. Customize everything.","Lite
       

     
      Free
 

   

     
             Not GDPR compliant 
             Basic, customizable cookie bar 
 
   
       
        Basic
       

     
      $3/month
 

   

     
             GDPR compliance 
             For stores on the Basic plan 
             23 languages 
             Location detection 
             Collect active consent 
             Block JS 
             Block 3rd-party cookies 
 
   
       
        Shopify, Advanced
       

     
      $7/month
 

   

     
             GDPR compliance 
             For stores on Shopify or Advanced plans 
             23 languages 
             Location detection 
             Collect active consent 
             Block JS 
             Block 3rd-party cookies 
 
   
       
        Enterprise, Plus
       

     
      $19/month
 

   

     
             GDPR compliance 
             For stores on the Enterprise, Plus plans 
             23 languages 
             Location detection 
             Collect active consent 
             Block JS 
             Block 3rd-party cookies"
ULTIMATE Currency Converter,Sellify,5,4,Automatically display prices in your customers local currency,"Beautiful Currency Selection 
       Choose from different themes to display with or without country flags.

Supports 200+ currencies including Bitcoin! 
    
     
         
           
         
       Match Your Theme 
       You can even customize the colours of the background and borders as well as choosing between rectangle or rounded edges to match your theme 
    
     
         
           
         
       Original Price On Hover Over 
       Hovering over the converted currency shows the original price. 

Decimal places can also be rounded up to .95, .97, .99 or anything else!","Early Birds
       

     
      $4.99/month
 

   

     
             As a special launch promotion, we're offering a locked in grandfathered pricing of $4.99 per month for the first 100 users."
Better Social Media Images,Kompile IVS,1,1,Easily upload images for Facebook and other social media sites,,$4.99/month
DEAR Inventory,DEAR Systems,4.7,30,"Retail, Manufacturing, Wholesale, Dropshipping, Consignment","Seamless Integration 
       Complete harmony between your online shop, inventory management and accounting software. 
    
     
         
           
         
       Order Consolidation 
       Intelligent consolidation of numerous small online sales into a bulk order at a specified time for ease of reconciliation. 
    
     
         
           
         
       Businesses of all sizes 
       Drop shipment support where you do not actually stock the inventory you sell","Base Plan
       

     
      $199/month
 
       
        or $182.42/month billed at $2,189 once per year
       

   

     
             5 users 
             Accounting Integrations 
             Ecommerce Integrations ( 2 included ) 
             Production module 
             Batch and Serial number tracking 
             100,000 SKU's"
PxUpload,Cafe Custom Ink,4.5,2,"Bulk Image Upload by image name, product sku and product tag",,"Basic plan
       

     
      $14/month
 

   

     
             Unlimited Uploads 
             Upload by Image 
             Upload by Product Sku 
             Upload by Tag 
             Create Product from image upload 
             Download CSV file with Image Url"
Enquire Post‑Purchase Surveys,"Hodi, Inc.",5,22,1-click install post-purchase survey & customer intelligence.,"One-click Install 
       One-click install & minimal setup. We use your theme's existing styles to instantly create an on-brand survey. Setup in less than 3 minutes. 
    
     
         
           
         
       Actionable Insights 
       Using our analytics dashboard, easily understand how your marketing campaigns compare to customer responses. 
    
     
         
           
         
       Per Order Analytics 
       Curious where an individual customer came from? No problem! In our responses tab view individual order responses.","Free Plan
       

     
      Free
 

   

     
             All features, includes up to 20 survey responses per month. 
 
   
       
        Paid Plan
       

     
      $9.99/month
 

   

     
             All features, includes unlimited survey responses per month."
Signals: Simple Sales Popups,Gravitate,0,0,Supercharge your store with animated social proof popups,,Free
Fancy Coming Soon,Feast Solutions,5,3,"A stunning, advanced & customizable coming soon page","Animated Backgrounds 
       Initiate coming soon page in one click showcased by animated themes 
    
     
         
           
         
       Mobile Responsive 
       Provide customers a responsive view based on the measurement of each device 
    
     
         
           
         
       Manage Email Information 
       Collect customer emails while your store growth is in development",$3.99/month
Salesoar Automated Campaigns,Salesoar,0,0,"Automated Shopping Ad Campaigns, Increase your Revenue","Stop Wasting Time 
       Eliminate manual labor from Google Shopping Campaigns. One time integration to generate targeted ads for your entire live product feed. 
    
     
       Better Groups, Better Campaign 
       Instantly split dynamic product groups to achieve your best campaign on a massive scale. A strategy impossible to accomplish manually. 
    
     
       Reach New Customers 
       Quickly generate thousands of high ranking ads to influence millions of untapped potential customers and increase your conversions.","STARTUP
       

     
      $49/month
 

   

     
             The Basics. Suitable for advertisers that spend less than $1000 per month on AdWords budget. 
 
   
       
        GROWTH
       

     
      $99/month
 

   

     
             Suitable for advertisers that spend between $1000 - $5000 per month on AdWords budget. 
 
   
       
        SCALE
       

     
      $299/month
 

   

     
             Suitable for advertisers that spend between $5000 - $15000 per month on AdWords budget. 
 
   
       
        CUSTOM
       

     
      $749/month
 

   

     
             Suitable for advertisers that spend between $5000 - $15000 per month on AdWords budget."
XOCookie ‑ EU Cookie & GDPR,Xopify,5,1,Quick and styled solution for EU cookie notification,"Sticky & float style 
       Custom banner style and position. 
    
     
         
           
         
       Responsive design 
       Work well with any devices or resolutions. 
    
     
         
           
         
       One click installation 
       Get your notify banner ready within minute.",Free
Parcelly Click & Collect,Parcelly,3.3,3,"Convenient parcel collection for your UK customers, Nationwide","Seamless Integration 
       Immediately offer your customers a nationwide network of Click & Collect locations on your check-out page. 
    
     
         
           
         
       UK-wide Click&Collect Network 
       2'000+ Click & Collect locations across 57 UK cities, ranging from Convenience Stores, Newsagents, Pharmacies and even Charities. 
    
     
         
           
         
       Compatible With Any Courier 
       No changes required to your existing courier as 
Parcelly Click&Collect is entirely compatible with all couriers.","Free to install
 

       
        100 fee-free Click&Collect deliveries and after that, no charges for ≤ 5 Click & Collect deliveries per month."
Facebook Chat Box ‑ Autoketing,Autoketing,4.9,150,Live chat to customers via Facebook Messenger to boost sales,"Connect to all your customers 
       Connect to all your customers over the world through Facebook messaging platform - Popular, simple and convenient. 
    
     
         
           
         
       Customer care any time 
       You can support your customers at any time and anywhere. Thence, build a professional customer care style. 
    
     
         
           
         
       Boost sales and revenue 
       Build trust and close relationship with customers to drive sales and profit for your business.",Free
Display Ad Generator,Good Times Media AB,4.3,6,The easiest and fastest way to create ads and banners.,"Ads for every format 
       One click will give you more ads than you can handle - the 15 most popular ad formats are instantly generated. 
    
     
         
           
         
       Ads for every product 
       Save countless hours of ad design. You get a full collection of display ads for each and every product in your store. 
    
     
         
           
         
       Ads for every occasion 
       Choose from 7 different templates, and customize the text, colors and style before you generate.","Basic
       

     
      Free
 

   

     
             Create one ad at a time 
             Unlimited amount of image ads 
             Download unlimited image ads 
             Customize colors and style 
             Customize text and content 
 
   
       
        Premium
       

     
      $9/month
 

   

     
             Generate ads for every product in a collection 
             Generate ads for every product in your store 
             Download unlimited HTML5 ads"
Quick Order Forms by InstaBuy,InstaBuy,5,1,Quick order and wholesale forms,"Works everywhere 
       Embed quick order forms anywhere on your store and even on other websites. 
    
     
         
           
         
       Perfect for wholesale 
       Let wholesale customers quickly order products from your entire inventory without leaving the page. 
    
     
         
           
         
       Search built in 
       Powerful, fast product search with result highlighting built right into the form.","InstaBuy plan
       

     
      $7.99/month
 

   

     
             Unlimited order forms"
AWeber Email by Combidesk,Combidesk,4.8,26,Easy To Use Email Marketing Automation Tool With Popup Forms,"Email Newsletters 
       Automatically create emails from your newest blog posts. 
    
     
       Drag and Drop Editor 
       Choose from over 700 mobile responsive email templates. 
    
     
       Email Automation 
       Easily create automated email sequences with our drag and drop editor.",$5/month
Sort Orders by Power Tools,Power Tools,5,4,Take control of your collection sort orders and/or randomize!,"Randomize Collection 
       Keep your featured collections looking fresh with a randomized sort order, and help drive conversions. 
    
     
       Keep It Consistent 
       Don't confuse your customers - give your site a consistent sort order between collections. 
    
     
       Test and Optimize 
       Increase conversions by easily finding the optimal sort order",$3.99/month
Refersion: Affiliate Marketing,"Refersion, Inc.",4.7,639,Track referrals & pay commissions to affiliates + influencers,"Track your affiliate program 
       Track referral orders with referral links, coupons, emails, or SKUs from a central dashboard. Segment affiliates & influencers by offers. 
    
     
         
           
         
       Own your affiliate marketing 
       Branded affiliate + influencer dashboards, and customizable registration pages build a reputable affiliate marketing program. 
    
     
         
           
         
       Influencer & affiliate network 
       Get your affiliate program in front of thousands of ambassadors & influencers with a free listing on the Refersion Marketplace.","Professional
       

     
      $89/month
 

   

     
             Tracks up to 130 affiliate orders/month 
             Unlimited clicks, affiliates, and offers 
             Support from a US-based 
             Link, Discount code, & SKU tracking"
Checkout Supercharger,Plobal Apps,3.6,11,Simplest Way To Boost Checkout and Reduce Abandoned Carts,"Improve Checkout Experiences 
       ‘I love sites with buggy checkouts’ said no one ever.
Give your customers a great shopping experience. 
    
     
         
           
         
       Reduce Checkout Drop Offs 
       Your customers are impatient and easily distracted. Increase your store’s sales by making your customer’s checkout simpler. 
    
     
         
           
         
       Supercharge Your Checkout Sale 
       Boost your sales by reducing cart checkout abandonment significantly. Simplest tool to modify checkout experience","Starter Plan
       

     
      $14.99/month
 
       
        or $12.42/month billed at $149 once per year
       

   

     
             Optimised Checkout Experience 
             Optimised Experience Reports 
             Cart Success Reports 
 
   
       
        Premium Plan
       

     
      $79.99/month
 
       
        or $62.50/month billed at $749.99 once per year
       

   

     
             Optimised Checkout Experience 
             Optimised Experience Reports 
             Cart Success Reports 
             Abandoned Cart Emails 
             Personalised Designs"
Laundry Symbols,Architechpro OÜ,0,0,"Pictograms of clothing care symbols, labels and tags","Easy product care guide 
       Tell your customers how to treat your products and how to understand labels on your products 
    
     
       Spend less time 
       Laundry Symbols page will explain everything related to warranty conditions and proper products use for you 
    
     
       Open for additional info 
       The page app creates is customizable so you can add or edit any text on it anytime.",$2.99/month
Ship&co,Ship&co,5,7,Integrated Shipping Label Tool for Online Sellers,"Easily Create Shipping Labels 
       Ship&co will reduce the amount of time and effort required to manage and ship orders by up to 80%. 
    
     
       Manage Multiple Shipping Carri 
       Use your own carrier account. Setup multiple accounts from same carrier.  Compare rates between carriers. 
    
     
       Manage Various Shopping Stores 
       Easily setup and manage multiple shopify stores and warehouses.","Free to install
 

       
        20yen per shipment | 従量課金制 ¥20/件"
Social Proof,SpurIT,4.8,85,Increase Sales & Create Urgency With SpurIT Social Proof App,"Fully customizable widget 
       Configure texts, design, conditions and location of the widget. Apply the widget to specific products, collections or the whole store. 
    
     
       Full control of social proof 
       Motivate customers with high number of clients looking at a product and low stock inventory. 
    
     
       Easy to start 
       No coding is required, install in one click. Friendly technical support will answer any questions 24/7.","$8.95/month
 

   

     
             2 dynamic values: number of clients looking at a product and low stock inventory 
             Bulk changes in minutes 
             Fully customizable widget 
             24/7 support"
Gallerycase,Buddy Apps,0,0,Upload and show images on your store with Gallerycase,"Any number of page galleries 
       Any number of gallery on any number of pages. 
    
     
       Automatic notifications 
       Automatically notify you on receiving new photo from customer. 
    
     
       Easy Managable 
       Easily manage your gallery.",$6/month
PixelHook ‑ Ultimate FB Pixels,Pixel Plex,3.3,22,Run Multiple Facebook Pixels for Best Scaling Results,"Train Your Facebook Pixel 
       Train Your Facebook Pixel to Become Super Intelligent for Conversion Optimization 
    
     
       Supports Multiple Pixels 
       Supports Multiple Facebook Pixels on a Single Store for Niche Separation 
    
     
       Easy Facebook Catalog Feed 
       Builds a product feed to create a Facebook Catalog in minutes",$12.99/month
Request a Quote,SolverCircle,4.9,42,Let customers make wishlist of products and request quote,,"Premium
       

     
      $9.99/month
 

   

     
             Basic features like customers can create quote list and submit, merchant can get quote notification, search and export received quotes, etc. 
 
   
       
        Gold
       

     
      $19.99/month
 

   

     
             Basic features and additional features like custom input fields and making draft order and email its checkout link."
Apptuse,Apptuse,2.6,8,Mobile apps for ecommerce websites,"Showcase your products on mobi 
       Display your products with high-resolution images and multiple images in a clean tile format 
    
     
       No additional configuration re 
       Works with your existing site & payment gateway. No special configuration required! 
    
     
       No coding required 
       You don’t need any technical expertise to create your app, all you need is to connect Apptuse with Shopify and you're done!","$9/month
 

   

 
   

     
      $99/month"
Segmentify Recommendation,Segmentify,4,4,Boost sales with Segmentify's product recommendation widgets,"Boost Sales 
       Segmentify's AI based recommendation and personalization widgets will contribute to your sales. 
    
     
         
           
         
       Increase Conversion 
       Only 1 out of 100 visitors converted into actual customers on average. Increase your conversion and convert more visitors into customers. 
    
     
         
           
         
       Stop Losing Customers 
       It is very frustrating to lose potential customers you paid a lot on ads to acquire. Stop them bouncing with personalized recommendations.","Starter
       

     
      Free
 

   

     
             No setup fee 
             Limited to stores with less than 50 orders/mo 
             One Recommendation Widget 
             Limited Algorithms: Top Sellers & Last Visited 
 
   
       
        Basic
       

     
      $149/month
 

   

     
             No setup fee 
             Up to 150 orders/mo 
             One Domain 
             Unlimited Recommendation Widgets 
             Limited Algorithms: Top Sellers & Last Visited 
 
   
       
        Profesional
       

     
      $349/month
 

       
        Additional fees and plans are available, check pricing page!
       
   

     
             No setup fee 
             Limited to stores with less than 300 orders/mo 
             Multiple Domains 
             Unlimited Recommendation Widgets 
             All Algorithms Included"
Shipping Rates Calculator Plus,Code Black Belt,5,155,A shipping rates calculator with geolocation on your cart page,"Decreased abandoned carts 
       By showing your customers the shipping rates information upfront, they are able to see exact shipping rates, minimising abandoned carts 
    
     
         
           
         
       Best customer experience 
       Using precise geolocation to automatically show the shipping rates and estimates saves you and your customers valuable time 
    
     
         
           
         
       Simple click-and-go calculator 
       The shipping rates calculator installs with one-click, requires no configuration and zero maintenance. A shipping calculator in a minute!",$6.99/month
ChannelApe,ChannelApe,4.8,33,"Catalog, Inventory & Distributed Order Management for Brands","Unified Platform for Operation 
       Sync orders, fulfillments and inventory levels with one or many 3PL warehouses through one system across all your sales channels. 
    
     
         
           
         
       Direct To Consumer Catalog 
       Distribute a single unified product catalog and inventory to eCommerce channels like Amazon, eBay, & Walmart as well as wholesale channels. 
    
     
         
           
         
       Integrate Disconnected Systems 
       Sync any commerce system internal or external with catalogs, inventory, orders, fulfillments and returns.","Startup
       

     
      $200/month
 

   

     
             Up To 750 SKU's 
             Up To 100 Orders 
 
   
       
        Growing Brand
       

     
      $1,000/month
 

   

     
             Up To 8,800 SKU's 
             Up To 1,750 Orders 
 
   
       
        Enterprise
       

     
      $2,000/month
 

   

     
             Up To 22,900 SKU's 
             Up To 4,000 Orders"
Popup & Slide‑in Video Contest,Growth Connections,4.7,3,Convert Local Visitors into Buyers and your Brand Advocates.,"Get More Leads, Sell More 
       Convert your website visitors into your customers by offering instant unique discounts coupons using exit intent popups 
    
     
       Boost Brand Awareness 
       Transform website visitors into your advocates with contest popups 
    
     
       Regional Campaigns 
       Make regional offers with geolocation targeting. Target visitors by Country and Region.",$4.90 one time charge
Fruugo Marketplace Integration,CedCommerce,4.9,8,"List, Sync, Manage, & Automate to boost sales on Fruugo","No Juggling & Manual Work 
       Make your Shopify store the nodal point and hassle-free manage inventory, order & shipment as it automates all the sales operations. 
    
     
         
           
         
       Multilateral 24*7 support 
       Dedicated account manager assists in on-boarding and offers unlimited expert training from your preferred support medium all-day everyday 
    
     
         
           
         
       Save Time & Money 
       By ensuring the effective handling of listings and updates in real time the app saves not only manual efforts but time and money as well.",Free
NeatTracker,NeatShift,4.5,68,Simple product add to cart and view reports for your shop.,"Extend Shopify's reporting 
       Get near real-time data on the products your visitors are viewing and adding to their carts. 
    
     
         
           
         
       Better insights into your shop 
       Gain insights into the products your customers are shopping for. 
    
     
         
           
         
       Your data, how you want it 
       Easy CSV exports right to your email.",Free
LiveSupporti ‑ Live Chat,LiveSupporti,0,0,Live Chat for your Shopify store,,"Free
       

     
      Free
 

   

     
             Unlimited websites 
             Unlimited chats 
             Unlimited concurrent chats 
             Real-time monitoring 
             Offline messages 
             Chat history 
             iOS/Android apps 
 
   
       
        Premium
       

     
      $5/month
 

   

     
             All features in Free plan 
             Multilingual 
             Color customization 
             Custom logo 
             Send files 
             Groups 
             Filters 
             Custom sounds 
             Shortcuts 
             REST API 
 
   
       
        Premium
       

     
      $4/month
 
       
        billed at $48 once per year
       

   

     
             All features in Free plan 
             Multilingual 
             Color customization 
             Custom logo 
             Send files 
             Groups 
             Filters 
             Custom sounds 
             Shortcuts 
             REST API"
Exportify,Able Sense,4.9,39,"Order exports, formatted your way","Stop editing spreadsheets 
       Exportify delivers your order exports in exactly the format you need them. Now you don't have to edit the default Shopify CSV. 
    
     
         
           
         
       Export by email on auto-pilot 
       Exportify saves you time by running exports for you. You can choose automatic email exports as orders come in, or in a daily batch. 
    
     
         
           
         
       Simplify workflows 
       Need Shopify order data in another system?
Exportify is used with major shipping, accounting, and custom production workflows.","Standard
       

     
      $19/month
 

   

     
             We provide a free custom setup for your Exportify account."
Scan and Ship,Paul Grout Consulting,5,4,No more shipping errors!,"No more shipping errors 
       Every shipping mistake means an unhappy customer and an expensive bill for you the merchant. 
    
     
       Check orders as you ship 
       Each order is automatically checked before it is sent so you can be sure that the customer will get what they ordered. 
    
     
       Easy to get started 
       Scan and Ship is integrated with the shopify admin so all your work is done in one place",$39/month
Carbon Checkout,Carbon Checkout,4.8,13,Elevate your brand by aligning with a cause,"ELEVATE YOUR BRAND 
       Elevate your brand with a fully integrated cause marketing initiative that increases customer loyalty & lifetime value. 
    
     
       ENHANCE YOUR USER EXPERIENCE 
       Enhance the checkout experience and increase conversion with a discreet cause related option at checkout. 
    
     
       DO WELL BY DOING GOOD 
       Communicate your sustainability efforts and generate five times the revenue of your competitors, to do well by doing good.",Free
Out‑of‑Stock Police,EGNITION,4.7,25,Push out-of-stock products to the bottom of your collections,"Move sold-outs to the bottom 
       Never show your out-of-stock products at the top of their collections. The app organizes these products and moves them to the bottom. 
    
     
         
           
         
       Boost SEO with sold-out items 
       Keep your out-of-stock products indexed by search engines. Why? Because customers searching for these products increase store visibility. 
    
     
         
           
         
       Have complete sorting control 
       Benefit from organic traffic to out-of-stock products, and edit your theme to show relevant products, offer coupons & cross-sell!","Bronze
       

     
      Free
 

   

     
             Stores with 0 - 49 products 
 
   
       
        Silver
       

     
      $5.99/month
 

   

     
             Stores with 50 - 499 products 
 
   
       
        Gold
       

     
      $9.99/month
 

   

     
             Stores with 500 - 4999 products 
 
   
       
        Platinum
       

     
      $12.99/month
 

   

     
             Stores with 5000+ products or 100+ collections."
Storakle,Storakle,0,0,The ultimate customer retention tool for your Shopify store!,"Know better. 
       Get to know your individual customers and turn them into repeat buyers. 
    
     
         
           
         
       Send better. 
       Use powerful customer segments to put the right offer in the right inbox. 
    
     
         
           
         
       Be better. 
       Automate your marketing efforts and skyrocket your business hassle-free.","FREE
       

     
      Free
 

   

     
             Up to 1 000 customers 
             Individual Customer Tracking 
             Powerful Customer Segmentation 
             One-Off & Automated Email Campaigns 
 
   
       
        STARTER
       

     
      $19/month
 

   

     
             Up to 2 500 customers 
             Individual Customer Tracking 
             Powerful Customer Segmentation 
             One-Off & Automated Email Campaigns 
 
   
       
        GROWTH
       

     
      $29/month
 

   

     
             Up to 5 000 customers 
             Individual Customer Journey 
             Powerful Customer Segmentation 
             One-Off & Automated Email Campaigns 
 
   
       
        PROFESSIONAL
       

     
      $49/month
 

   

     
             Up to 10 000 customers 
             Individual Customer Journey 
             Powerful Customer Segmentation 
             One-Off & Automated Email Campaigns"
UPS Small Package Quotes,Eniture Technology,5,7,Quote your negotiated UPS rates during checkout.,"Offer accurate shipping rates 
       Offer accurate real-time shipping quotes based on your negotiated rates and the correct determination of actual vs. dimensional weight. 
    
     
         
           
         
       Multiple stocking locations 
       Define multiple warehouses and assign drop ship locations to products that ship from vendors, suppliers and fulfillment centers. 
    
     
         
           
         
       Control how quotes display 
       Options for services, box sizes, residential delivery, in-store pick up and local delivery puts you in control of your shipping quotes.","Basic
       

     
      $15/month
 

       
        3 cents per packaging solution (optional feature)
       
   

     
             Unlimited parcel quotes 
             Multiple stocking locations 
             Standard Box Sizes (optional) 
             Residential delivery 
             Handling fee 
 
   
       
        Standard
       

     
      $20/month
 

       
        3 cents per packaging solution (optional feature)
       
   

     
             Basic plan plus... 
             Auto-detect residential addresses 
             Do not display rates to PO Boxes 
             Hazardous material support 
 
   
       
        Advanced
       

     
      $40/month
 

       
        3 cents per packaging solution (optional feature)
       
   

     
             Standard plan plus... 
             Transit time limits on Ground service 
             In store pick up and local delivery options 
             Specify a local delivery fee"
Statbox Email Reports,Pexeto Pty Ltd,5,1,Email reports of your store's sales performance,"Email reports on the go 
       Simple to use, yet advanced store sales performance reports that you get right in your inbox. 
    
     
         
           
         
       Enterprise level metrics 
       Make data-driven decisions based on your store performance by tracking 14+ enterprise-level analytics and reports on the go. 
    
     
         
           
         
       Daily, weekly & monthly report 
       Statbox provides daily, weekly and monthly sales performance reports directly to your email.","Basic
       

     
      $5.99/month
 

   

     
             Weekly & monthly reports 
 
   
       
        Pro
       

     
      $9.99/month
 

   

     
             Daily, weekly & monthly reports"
Shopkeeper Gift Cards,Shopkeeper Tools,4.4,19,Take your Shopify gift cards from blah to beautiful,"Customizable gift cards 
       Say goodbye to the default Shopify gift cards design and let customers choose from hundreds of designs, add a personal note and more 
    
     
         
           
         
       Huge selection of designs 
       Hundreds of designs for everyday occasions, birthdays, holidays and more — with more added frequently 
    
     
         
           
         
       Sell more gift cards 
       Increase sales by offering customizable gift cards that are also printer friendly and can be redeemed via the Shopify POS","Free
       

     
      Free
 

   

     
             The basic features you need to spice up your Shopify store's gift cards 
             Access to a select number of designs 
 
   
       
        Pro
       

     
      $7.99/month
 

   

     
             Our most popular option 
             A larger design library and more options for customers 
             Senders can add personal note 
 
   
       
        Branded Pro
       

     
      $9.99/month
 

       
        $99 per branded gift card design. Bulk options available.
       
   

     
             Add your brand's logo and imagery 
             Offer one or more custom branded design 
             One time $99 design fee"
Earnbox ‑ Automated Loyalty,Earnbox,0,0,Helps Shopify store owners boost return and repeat customers.,"GROW YOUR CUSTOMER BASE 
       Without distractions 
    
     
       ENJOY MORE RETURN CUSTOMERS 
       With automated cashbacks 
    
     
       BOOST YOUR SALES 
       Sit back, relax and focus on the things you love",Free
Whatify,Whatify,5,2,Optimize your prices using automated A/B testing,"Price optimization 
       Use the power of sophisticated data modeling to make the most sales at the best prices, maximizing your profit. 
    
     
       Fully automatic 
       All you have to do is set it up, then our algorithms go to work and constantly, automatically adjust your prices. 
    
     
       Try it free 
       Whatify is completely free for the first month. If you choose to subscribe, we'll charge you a small fraction of the revenue we generate.","Free to install
 

       
        10% of the value generated by our analysis"
e‑Boekhouden.nl,Webwinkelfacturen,5,2,Your webshop orders effortlessly in e-Boekhouden.nl,"Save time and cost 
       Get your salesorders automatically into e-Boekhouden. 
    
     
       Avoid errors 
       Ensure that taxes and ledgercodes are assigned correctly in e-Boekhouden. 
    
     
       No double data entry 
       No more boring typing data from your webshop to e-Boekhouden.",$14.95/month
